week_start,year,week_number,region_code,region_name,patch_code,available_engineers,capacity_jobs,demand_jobs,gap_jobs,utilisation_pct,rag_status,is_forecast
2024-01-01,2024,1,NW,North West,NW-P1,5,20,16,4,80.0,Amber,0
2024-01-01,2024,1,NW,North West,NW-P2,4,16,12,4,75.0,Amber,0
2024-01-01,2024,1,NW,North West,NW-P3,5,20,14,6,70.0,Green,0
2024-01-01,2024,1,NW,North West,NW-P4,5,20,14,6,70.0,Green,0
2024-01-01,2024,1,NW,North West,NW-P5,4,16,15,1,93.8,Red,0
2024-01-01,2024,1,NW,North West,NW-P6,4,16,17,-1,106.2,Red,0
2024-01-01,2024,1,NE,North East,NE-P1,4,16,13,3,81.2,Amber,0
2024-01-01,2024,1,NE,North East,NE-P2,4,16,15,1,93.8,Red,0
2024-01-01,2024,1,NE,North East,NE-P3,4,16,13,3,81.2,Amber,0
2024-01-01,2024,1,NE,North East,NE-P4,4,16,10,6,62.5,Green,0
2024-01-01,2024,1,NE,North East,NE-P5,4,16,11,5,68.8,Green,0
2024-01-01,2024,1,MID,Midlands,MID-P1,4,16,12,4,75.0,Amber,0
2024-01-01,2024,1,MID,Midlands,MID-P2,5,20,15,5,75.0,Amber,0
2024-01-01,2024,1,MID,Midlands,MID-P3,5,20,17,3,85.0,Amber,0
2024-01-01,2024,1,MID,Midlands,MID-P4,5,20,11,9,55.0,Green,0
2024-01-01,2024,1,MID,Midlands,MID-P5,5,20,13,7,65.0,Green,0
2024-01-01,2024,1,MID,Midlands,MID-P6,5,20,13,7,65.0,Green,0
2024-01-01,2024,1,MID,Midlands,MID-P7,4,16,14,2,87.5,Amber,0
2024-01-01,2024,1,SE,South East,SE-P1,4,16,15,1,93.8,Red,0
2024-01-01,2024,1,SE,South East,SE-P2,5,20,14,6,70.0,Green,0
2024-01-01,2024,1,SE,South East,SE-P3,5,20,16,4,80.0,Amber,0
2024-01-01,2024,1,SE,South East,SE-P4,5,20,15,5,75.0,Amber,0
2024-01-01,2024,1,SE,South East,SE-P5,5,20,16,4,80.0,Amber,0
2024-01-01,2024,1,SE,South East,SE-P6,5,20,14,6,70.0,Green,0
2024-01-01,2024,1,SE,South East,SE-P7,4,16,13,3,81.2,Amber,0
2024-01-01,2024,1,SE,South East,SE-P8,5,20,14,6,70.0,Green,0
2024-01-01,2024,1,SW,South West,SW-P1,4,16,13,3,81.2,Amber,0
2024-01-01,2024,1,SW,South West,SW-P2,4,16,13,3,81.2,Amber,0
2024-01-01,2024,1,SW,South West,SW-P3,4,16,12,4,75.0,Amber,0
2024-01-01,2024,1,SW,South West,SW-P4,4,16,12,4,75.0,Amber,0
2024-01-01,2024,1,WAL,Wales,WAL-P1,5,20,14,6,70.0,Green,0
2024-01-01,2024,1,WAL,Wales,WAL-P2,5,20,13,7,65.0,Green,0
2024-01-01,2024,1,WAL,Wales,WAL-P3,5,20,16,4,80.0,Amber,0
2024-01-01,2024,1,SCO,Scotland,SCO-P1,5,20,15,5,75.0,Amber,0
2024-01-01,2024,1,SCO,Scotland,SCO-P2,4,16,15,1,93.8,Red,0
2024-01-01,2024,1,SCO,Scotland,SCO-P3,5,20,17,3,85.0,Amber,0
2024-01-01,2024,1,SCO,Scotland,SCO-P4,5,20,14,6,70.0,Green,0
2024-01-01,2024,1,YRK,Yorkshire,YRK-P1,4,16,16,0,100.0,Red,0
2024-01-01,2024,1,YRK,Yorkshire,YRK-P2,4,16,17,-1,106.2,Red,0
2024-01-01,2024,1,YRK,Yorkshire,YRK-P3,4,16,14,2,87.5,Amber,0
2024-01-01,2024,1,YRK,Yorkshire,YRK-P4,4,16,15,1,93.8,Red,0
2024-01-01,2024,1,YRK,Yorkshire,YRK-P5,4,16,14,2,87.5,Amber,0
2024-01-08,2024,2,NW,North West,NW-P1,4,16,17,-1,106.2,Red,0
2024-01-08,2024,2,NW,North West,NW-P2,5,20,15,5,75.0,Amber,0
2024-01-08,2024,2,NW,North West,NW-P3,5,20,14,6,70.0,Green,0
2024-01-08,2024,2,NW,North West,NW-P4,4,16,14,2,87.5,Amber,0
2024-01-08,2024,2,NW,North West,NW-P5,5,20,13,7,65.0,Green,0
2024-01-08,2024,2,NW,North West,NW-P6,5,20,12,8,60.0,Green,0
2024-01-08,2024,2,NE,North East,NE-P1,3,12,11,1,91.7,Red,0
2024-01-08,2024,2,NE,North East,NE-P2,4,16,11,5,68.8,Green,0
2024-01-08,2024,2,NE,North East,NE-P3,3,12,11,1,91.7,Red,0
2024-01-08,2024,2,NE,North East,NE-P4,4,16,11,5,68.8,Green,0
2024-01-08,2024,2,NE,North East,NE-P5,3,12,10,2,83.3,Amber,0
2024-01-08,2024,2,MID,Midlands,MID-P1,5,20,14,6,70.0,Green,0
2024-01-08,2024,2,MID,Midlands,MID-P2,5,20,14,6,70.0,Green,0
2024-01-08,2024,2,MID,Midlands,MID-P3,5,20,16,4,80.0,Amber,0
2024-01-08,2024,2,MID,Midlands,MID-P4,4,16,14,2,87.5,Amber,0
2024-01-08,2024,2,MID,Midlands,MID-P5,4,16,12,4,75.0,Amber,0
2024-01-08,2024,2,MID,Midlands,MID-P6,4,16,13,3,81.2,Amber,0
2024-01-08,2024,2,MID,Midlands,MID-P7,5,20,16,4,80.0,Amber,0
2024-01-08,2024,2,SE,South East,SE-P1,4,16,13,3,81.2,Amber,0
2024-01-08,2024,2,SE,South East,SE-P2,4,16,13,3,81.2,Amber,0
2024-01-08,2024,2,SE,South East,SE-P3,5,20,17,3,85.0,Amber,0
2024-01-08,2024,2,SE,South East,SE-P4,4,16,14,2,87.5,Amber,0
2024-01-08,2024,2,SE,South East,SE-P5,4,16,14,2,87.5,Amber,0
2024-01-08,2024,2,SE,South East,SE-P6,4,16,13,3,81.2,Amber,0
2024-01-08,2024,2,SE,South East,SE-P7,5,20,16,4,80.0,Amber,0
2024-01-08,2024,2,SE,South East,SE-P8,5,20,15,5,75.0,Amber,0
2024-01-08,2024,2,SW,South West,SW-P1,5,20,14,6,70.0,Green,0
2024-01-08,2024,2,SW,South West,SW-P2,5,20,14,6,70.0,Green,0
2024-01-08,2024,2,SW,South West,SW-P3,4,16,12,4,75.0,Amber,0
2024-01-08,2024,2,SW,South West,SW-P4,5,20,16,4,80.0,Amber,0
2024-01-08,2024,2,WAL,Wales,WAL-P1,4,16,14,2,87.5,Amber,0
2024-01-08,2024,2,WAL,Wales,WAL-P2,4,16,15,1,93.8,Red,0
2024-01-08,2024,2,WAL,Wales,WAL-P3,4,16,14,2,87.5,Amber,0
2024-01-08,2024,2,SCO,Scotland,SCO-P1,5,20,13,7,65.0,Green,0
2024-01-08,2024,2,SCO,Scotland,SCO-P2,5,20,12,8,60.0,Green,0
2024-01-08,2024,2,SCO,Scotland,SCO-P3,4,16,15,1,93.8,Red,0
2024-01-08,2024,2,SCO,Scotland,SCO-P4,4,16,15,1,93.8,Red,0
2024-01-08,2024,2,YRK,Yorkshire,YRK-P1,4,16,15,1,93.8,Red,0
2024-01-08,2024,2,YRK,Yorkshire,YRK-P2,4,16,18,-2,112.5,Red,0
2024-01-08,2024,2,YRK,Yorkshire,YRK-P3,5,20,15,5,75.0,Amber,0
2024-01-08,2024,2,YRK,Yorkshire,YRK-P4,5,20,13,7,65.0,Green,0
2024-01-08,2024,2,YRK,Yorkshire,YRK-P5,4,16,15,1,93.8,Red,0
2024-01-15,2024,3,NW,North West,NW-P1,5,20,11,9,55.0,Green,0
2024-01-15,2024,3,NW,North West,NW-P2,5,20,14,6,70.0,Green,0
2024-01-15,2024,3,NW,North West,NW-P3,4,16,10,6,62.5,Green,0
2024-01-15,2024,3,NW,North West,NW-P4,5,20,11,9,55.0,Green,0
2024-01-15,2024,3,NW,North West,NW-P5,4,16,13,3,81.2,Amber,0
2024-01-15,2024,3,NW,North West,NW-P6,5,20,13,7,65.0,Green,0
2024-01-15,2024,3,NE,North East,NE-P1,4,16,12,4,75.0,Amber,0
2024-01-15,2024,3,NE,North East,NE-P2,4,16,12,4,75.0,Amber,0
2024-01-15,2024,3,NE,North East,NE-P3,4,16,11,5,68.8,Green,0
2024-01-15,2024,3,NE,North East,NE-P4,4,16,12,4,75.0,Amber,0
2024-01-15,2024,3,NE,North East,NE-P5,3,12,12,0,100.0,Red,0
2024-01-15,2024,3,MID,Midlands,MID-P1,5,20,12,8,60.0,Green,0
2024-01-15,2024,3,MID,Midlands,MID-P2,5,20,15,5,75.0,Amber,0
2024-01-15,2024,3,MID,Midlands,MID-P3,4,16,14,2,87.5,Amber,0
2024-01-15,2024,3,MID,Midlands,MID-P4,5,20,14,6,70.0,Green,0
2024-01-15,2024,3,MID,Midlands,MID-P5,5,20,12,8,60.0,Green,0
2024-01-15,2024,3,MID,Midlands,MID-P6,4,16,13,3,81.2,Amber,0
2024-01-15,2024,3,MID,Midlands,MID-P7,4,16,14,2,87.5,Amber,0
2024-01-15,2024,3,SE,South East,SE-P1,5,20,13,7,65.0,Green,0
2024-01-15,2024,3,SE,South East,SE-P2,4,16,16,0,100.0,Red,0
2024-01-15,2024,3,SE,South East,SE-P3,4,16,15,1,93.8,Red,0
2024-01-15,2024,3,SE,South East,SE-P4,4,16,12,4,75.0,Amber,0
2024-01-15,2024,3,SE,South East,SE-P5,5,20,13,7,65.0,Green,0
2024-01-15,2024,3,SE,South East,SE-P6,4,16,13,3,81.2,Amber,0
2024-01-15,2024,3,SE,South East,SE-P7,5,20,13,7,65.0,Green,0
2024-01-15,2024,3,SE,South East,SE-P8,4,16,16,0,100.0,Red,0
2024-01-15,2024,3,SW,South West,SW-P1,4,16,13,3,81.2,Amber,0
2024-01-15,2024,3,SW,South West,SW-P2,5,20,12,8,60.0,Green,0
2024-01-15,2024,3,SW,South West,SW-P3,5,20,13,7,65.0,Green,0
2024-01-15,2024,3,SW,South West,SW-P4,5,20,13,7,65.0,Green,0
2024-01-15,2024,3,WAL,Wales,WAL-P1,4,16,13,3,81.2,Amber,0
2024-01-15,2024,3,WAL,Wales,WAL-P2,4,16,16,0,100.0,Red,0
2024-01-15,2024,3,WAL,Wales,WAL-P3,5,20,12,8,60.0,Green,0
2024-01-15,2024,3,SCO,Scotland,SCO-P1,5,20,13,7,65.0,Green,0
2024-01-15,2024,3,SCO,Scotland,SCO-P2,5,20,13,7,65.0,Green,0
2024-01-15,2024,3,SCO,Scotland,SCO-P3,5,20,11,9,55.0,Green,0
2024-01-15,2024,3,SCO,Scotland,SCO-P4,4,16,13,3,81.2,Amber,0
2024-01-15,2024,3,YRK,Yorkshire,YRK-P1,4,16,14,2,87.5,Amber,0
2024-01-15,2024,3,YRK,Yorkshire,YRK-P2,4,16,12,4,75.0,Amber,0
2024-01-15,2024,3,YRK,Yorkshire,YRK-P3,5,20,16,4,80.0,Amber,0
2024-01-15,2024,3,YRK,Yorkshire,YRK-P4,4,16,11,5,68.8,Green,0
2024-01-15,2024,3,YRK,Yorkshire,YRK-P5,4,16,15,1,93.8,Red,0
2024-01-22,2024,4,NW,North West,NW-P1,4,16,15,1,93.8,Red,0
2024-01-22,2024,4,NW,North West,NW-P2,4,16,13,3,81.2,Amber,0
2024-01-22,2024,4,NW,North West,NW-P3,4,16,11,5,68.8,Green,0
2024-01-22,2024,4,NW,North West,NW-P4,4,16,12,4,75.0,Amber,0
2024-01-22,2024,4,NW,North West,NW-P5,4,16,13,3,81.2,Amber,0
2024-01-22,2024,4,NW,North West,NW-P6,5,20,13,7,65.0,Green,0
2024-01-22,2024,4,NE,North East,NE-P1,4,16,12,4,75.0,Amber,0
2024-01-22,2024,4,NE,North East,NE-P2,3,12,10,2,83.3,Amber,0
2024-01-22,2024,4,NE,North East,NE-P3,3,12,11,1,91.7,Red,0
2024-01-22,2024,4,NE,North East,NE-P4,4,16,12,4,75.0,Amber,0
2024-01-22,2024,4,NE,North East,NE-P5,4,16,11,5,68.8,Green,0
2024-01-22,2024,4,MID,Midlands,MID-P1,5,20,12,8,60.0,Green,0
2024-01-22,2024,4,MID,Midlands,MID-P2,5,20,15,5,75.0,Amber,0
2024-01-22,2024,4,MID,Midlands,MID-P3,5,20,16,4,80.0,Amber,0
2024-01-22,2024,4,MID,Midlands,MID-P4,5,20,16,4,80.0,Amber,0
2024-01-22,2024,4,MID,Midlands,MID-P5,5,20,15,5,75.0,Amber,0
2024-01-22,2024,4,MID,Midlands,MID-P6,5,20,12,8,60.0,Green,0
2024-01-22,2024,4,MID,Midlands,MID-P7,4,16,15,1,93.8,Red,0
2024-01-22,2024,4,SE,South East,SE-P1,4,16,15,1,93.8,Red,0
2024-01-22,2024,4,SE,South East,SE-P2,4,16,10,6,62.5,Green,0
2024-01-22,2024,4,SE,South East,SE-P3,5,20,12,8,60.0,Green,0
2024-01-22,2024,4,SE,South East,SE-P4,4,16,14,2,87.5,Amber,0
2024-01-22,2024,4,SE,South East,SE-P5,4,16,12,4,75.0,Amber,0
2024-01-22,2024,4,SE,South East,SE-P6,4,16,13,3,81.2,Amber,0
2024-01-22,2024,4,SE,South East,SE-P7,4,16,14,2,87.5,Amber,0
2024-01-22,2024,4,SE,South East,SE-P8,5,20,14,6,70.0,Green,0
2024-01-22,2024,4,SW,South West,SW-P1,4,16,12,4,75.0,Amber,0
2024-01-22,2024,4,SW,South West,SW-P2,5,20,12,8,60.0,Green,0
2024-01-22,2024,4,SW,South West,SW-P3,5,20,14,6,70.0,Green,0
2024-01-22,2024,4,SW,South West,SW-P4,4,16,12,4,75.0,Amber,0
2024-01-22,2024,4,WAL,Wales,WAL-P1,5,20,16,4,80.0,Amber,0
2024-01-22,2024,4,WAL,Wales,WAL-P2,4,16,14,2,87.5,Amber,0
2024-01-22,2024,4,WAL,Wales,WAL-P3,4,16,13,3,81.2,Amber,0
2024-01-22,2024,4,SCO,Scotland,SCO-P1,5,20,14,6,70.0,Green,0
2024-01-22,2024,4,SCO,Scotland,SCO-P2,4,16,11,5,68.8,Green,0
2024-01-22,2024,4,SCO,Scotland,SCO-P3,5,20,12,8,60.0,Green,0
2024-01-22,2024,4,SCO,Scotland,SCO-P4,4,16,12,4,75.0,Amber,0
2024-01-22,2024,4,YRK,Yorkshire,YRK-P1,4,16,13,3,81.2,Amber,0
2024-01-22,2024,4,YRK,Yorkshire,YRK-P2,5,20,13,7,65.0,Green,0
2024-01-22,2024,4,YRK,Yorkshire,YRK-P3,4,16,14,2,87.5,Amber,0
2024-01-22,2024,4,YRK,Yorkshire,YRK-P4,5,20,12,8,60.0,Green,0
2024-01-22,2024,4,YRK,Yorkshire,YRK-P5,4,16,12,4,75.0,Amber,0
2024-01-29,2024,5,NW,North West,NW-P1,5,20,11,9,55.0,Green,0
2024-01-29,2024,5,NW,North West,NW-P2,4,16,12,4,75.0,Amber,0
2024-01-29,2024,5,NW,North West,NW-P3,4,16,12,4,75.0,Amber,0
