contact_date,year,month,week,day_of_week,region_code,region_name,channel,volume,bookings,cancellations,abandoned,avg_handle_mins,is_forecast
2025-06-01,2025,6,22,Sunday,MID,Midlands,Agent Callback,10,0,0,4,6.06,0
2025-06-01,2025,6,22,Sunday,MID,Midlands,App,2,0,0,1,8.97,0
2025-06-01,2025,6,22,Sunday,MID,Midlands,IVR,24,0,0,8,7.84,0
2025-06-01,2025,6,22,Sunday,MID,Midlands,Phone,21,0,0,8,8.76,0
2025-06-01,2025,6,22,Sunday,MID,Midlands,Web,32,3,0,10,8.03,0
2025-06-01,2025,6,22,Sunday,NE,North East,App,7,1,0,0,7.79,0
2025-06-01,2025,6,22,Sunday,NE,North East,IVR,2,0,0,1,5.7,0
2025-06-01,2025,6,22,Sunday,NE,North East,Phone,34,2,0,14,8.98,0
2025-06-01,2025,6,22,Sunday,NE,North East,Web,6,0,0,1,9.83,0
2025-06-01,2025,6,22,Sunday,NW,North West,App,2,1,1,0,8.74,0
2025-06-01,2025,6,22,Sunday,NW,North West,Phone,29,1,0,13,8.3,0
2025-06-01,2025,6,22,Sunday,NW,North West,SMS,3,1,0,0,8.93,0
2025-06-01,2025,6,22,Sunday,NW,North West,Web,11,2,1,0,8.81,0
2025-06-01,2025,6,22,Sunday,SCO,Scotland,App,6,0,0,3,9.07,0
2025-06-01,2025,6,22,Sunday,SCO,Scotland,IVR,9,1,1,3,6.13,0
2025-06-01,2025,6,22,Sunday,SCO,Scotland,Phone,8,0,0,3,8.1,0
2025-06-01,2025,6,22,Sunday,SCO,Scotland,Web,21,1,0,8,9.5,0
2025-06-01,2025,6,22,Sunday,SE,South East,Agent Callback,4,1,0,0,5.7,0
2025-06-01,2025,6,22,Sunday,SE,South East,App,19,0,0,6,7.57,0
2025-06-01,2025,6,22,Sunday,SE,South East,IVR,6,0,0,3,10.3,0
2025-06-01,2025,6,22,Sunday,SE,South East,Phone,33,0,0,14,7.7,0
2025-06-01,2025,6,22,Sunday,SE,South East,SMS,3,0,0,0,9.49,0
2025-06-01,2025,6,22,Sunday,SE,South East,Web,25,2,0,9,6.8,0
2025-06-01,2025,6,22,Sunday,SW,South West,App,8,0,0,4,6.04,0
2025-06-01,2025,6,22,Sunday,SW,South West,IVR,0,0,0,0,8.32,0
2025-06-01,2025,6,22,Sunday,SW,South West,Phone,4,0,0,2,9.52,0
2025-06-01,2025,6,22,Sunday,SW,South West,SMS,3,0,0,0,9.7,0
2025-06-01,2025,6,22,Sunday,SW,South West,Web,14,1,1,5,7.89,0
2025-06-01,2025,6,22,Sunday,WAL,Wales,App,10,0,0,5,6.23,0
2025-06-01,2025,6,22,Sunday,WAL,Wales,Phone,13,0,0,5,8.0,0
2025-06-01,2025,6,22,Sunday,WAL,Wales,SMS,4,0,0,0,12.0,0
2025-06-01,2025,6,22,Sunday,WAL,Wales,Web,25,0,0,11,8.72,0
2025-06-01,2025,6,22,Sunday,YRK,Yorkshire,Agent Callback,6,0,0,3,6.4,0
2025-06-01,2025,6,22,Sunday,YRK,Yorkshire,App,13,1,1,2,9.13,0
2025-06-01,2025,6,22,Sunday,YRK,Yorkshire,IVR,9,0,0,4,9.6,0
2025-06-01,2025,6,22,Sunday,YRK,Yorkshire,Phone,31,0,0,15,8.07,0
2025-06-01,2025,6,22,Sunday,YRK,Yorkshire,Web,14,1,0,4,9.94,0
2025-06-02,2025,6,23,Monday,MID,Midlands,Agent Callback,11,0,0,5,8.78,0
2025-06-02,2025,6,23,Monday,MID,Midlands,App,52,2,0,20,8.21,0
2025-06-02,2025,6,23,Monday,MID,Midlands,IVR,19,0,0,8,8.9,0
2025-06-02,2025,6,23,Monday,MID,Midlands,Phone,90,5,1,26,8.86,0
2025-06-02,2025,6,23,Monday,MID,Midlands,SMS,46,0,0,15,8.67,0
2025-06-02,2025,6,23,Monday,MID,Midlands,Web,86,2,0,32,8.64,0
2025-06-02,2025,6,23,Monday,NE,North East,Agent Callback,6,0,0,3,9.7,0
2025-06-02,2025,6,23,Monday,NE,North East,App,21,2,0,8,8.21,0
2025-06-02,2025,6,23,Monday,NE,North East,IVR,14,2,1,3,8.63,0
2025-06-02,2025,6,23,Monday,NE,North East,Phone,118,5,0,44,8.93,0
2025-06-02,2025,6,23,Monday,NE,North East,SMS,26,0,0,10,9.76,0
2025-06-02,2025,6,23,Monday,NE,North East,Web,52,3,0,20,7.74,0
2025-06-02,2025,6,23,Monday,NW,North West,Agent Callback,10,1,0,3,8.85,0
2025-06-02,2025,6,23,Monday,NW,North West,App,42,4,0,13,8.73,0
2025-06-02,2025,6,23,Monday,NW,North West,IVR,15,1,0,5,9.54,0
2025-06-02,2025,6,23,Monday,NW,North West,Phone,154,4,1,68,8.35,0
2025-06-02,2025,6,23,Monday,NW,North West,SMS,13,2,0,3,7.45,0
2025-06-02,2025,6,23,Monday,NW,North West,Web,114,3,0,45,8.02,0
2025-06-02,2025,6,23,Monday,SCO,Scotland,App,32,0,0,14,8.88,0
2025-06-02,2025,6,23,Monday,SCO,Scotland,IVR,14,0,0,7,8.22,0
