engineer_id,region_code,region_name,patch_code,employment_type,avail_date,year,month,week,day_of_week,status,jobs_completed,jobs_target,utilisation_pct
ENG-NW-001,NW,North West,NW-P1,Permanent,2025-01-01,2025,1,1,Wednesday,Available,1,3,33.3
ENG-NW-002,NW,North West,NW-P2,Contract,2025-01-01,2025,1,1,Wednesday,Available,4,3,133.3
ENG-NW-003,NW,North West,NW-P3,Permanent,2025-01-01,2025,1,1,Wednesday,Available,2,5,40.0
ENG-NW-004,NW,North West,NW-P4,Permanent,2025-01-01,2025,1,1,Wednesday,Available,2,5,40.0
ENG-NW-005,NW,North West,NW-P5,Contract,2025-01-01,2025,1,1,Wednesday,Available,2,3,66.7
ENG-NW-006,NW,North West,NW-P6,Permanent,2025-01-01,2025,1,1,Wednesday,Available,3,3,100.0
ENG-NW-007,NW,North West,NW-P1,Permanent,2025-01-01,2025,1,1,Wednesday,Available,2,3,66.7
ENG-NW-008,NW,North West,NW-P2,Permanent,2025-01-01,2025,1,1,Wednesday,Available,4,5,80.0
ENG-NW-009,NW,North West,NW-P3,Permanent,2025-01-01,2025,1,1,Wednesday,Available,2,3,66.7
ENG-NW-010,NW,North West,NW-P4,Contract,2025-01-01,2025,1,1,Wednesday,Available,2,5,40.0
ENG-NW-011,NW,North West,NW-P5,Permanent,2025-01-01,2025,1,1,Wednesday,Available,1,3,33.3
ENG-NW-012,NW,North West,NW-P6,Permanent,2025-01-01,2025,1,1,Wednesday,Available,3,4,75.0
ENG-NW-013,NW,North West,NW-P1,Contract,2025-01-01,2025,1,1,Wednesday,Available,1,3,33.3
ENG-NW-014,NW,North West,NW-P2,Contract,2025-01-01,2025,1,1,Wednesday,Available,2,3,66.7
ENG-NW-015,NW,North West,NW-P3,Permanent,2025-01-01,2025,1,1,Wednesday,Available,2,4,50.0
ENG-NW-016,NW,North West,NW-P4,Permanent,2025-01-01,2025,1,1,Wednesday,Available,2,3,66.7
ENG-NW-017,NW,North West,NW-P5,Agency,2025-01-01,2025,1,1,Wednesday,Available,1,4,25.0
ENG-NW-018,NW,North West,NW-P6,Permanent,2025-01-01,2025,1,1,Wednesday,Available,3,4,75.0
ENG-NW-019,NW,North West,NW-P1,Permanent,2025-01-01,2025,1,1,Wednesday,Available,2,4,50.0
ENG-NW-020,NW,North West,NW-P2,Permanent,2025-01-01,2025,1,1,Wednesday,Annual Leave,0,3,0.0
ENG-NW-021,NW,North West,NW-P3,Contract,2025-01-01,2025,1,1,Wednesday,Available,2,5,40.0
ENG-NW-022,NW,North West,NW-P4,Permanent,2025-01-01,2025,1,1,Wednesday,Available,3,4,75.0
ENG-NW-023,NW,North West,NW-P5,Permanent,2025-01-01,2025,1,1,Wednesday,Annual Leave,0,4,0.0
ENG-NW-024,NW,North West,NW-P6,Contract,2025-01-01,2025,1,1,Wednesday,Available,3,5,60.0
ENG-NW-025,NW,North West,NW-P1,Contract,2025-01-01,2025,1,1,Wednesday,Available,2,4,50.0
ENG-NW-026,NW,North West,NW-P2,Permanent,2025-01-01,2025,1,1,Wednesday,Available,2,5,40.0
ENG-NW-027,NW,North West,NW-P3,Permanent,2025-01-01,2025,1,1,Wednesday,Available,2,5,40.0
ENG-NW-028,NW,North West,NW-P4,Permanent,2025-01-01,2025,1,1,Wednesday,Available,3,4,75.0
ENG-NW-029,NW,North West,NW-P5,Agency,2025-01-01,2025,1,1,Wednesday,Annual Leave,0,3,0.0
ENG-NW-030,NW,North West,NW-P6,Contract,2025-01-01,2025,1,1,Wednesday,Training,0,4,0.0
