year,month,month_name,quarter,region_code,region_name,job_type,total_requests,completions,cancellations,aborts,revenue_gbp,direct_cost_gbp,overhead_gbp,total_cost_gbp,margin_gbp,margin_pct,cost_per_completion,is_forecast
2025,1,January,Q1,MID,Midlands,EXCHANGE,237,161,40,22,26565,14038,3088.36,17126.36,9438.64,35.53,106.37,0
2025,1,January,Q1,MID,Midlands,NEW_INSTALL,188,134,24,12,24790,13186,2900.92,16086.92,8703.08,35.11,120.05,0
2025,1,January,Q1,MID,Midlands,REMOVAL,54,41,4,3,3690,2082,458.04,2540.04,1149.96,31.16,61.95,0
2025,1,January,Q1,MID,Midlands,REPAIR,104,74,10,7,8880,5076,1116.72,6192.72,2687.28,30.26,83.69,0
2025,1,January,Q1,NE,North East,EXCHANGE,123,79,20,9,13035,6820,1500.4,8320.4,4714.6,36.17,105.32,0
2025,1,January,Q1,NE,North East,NEW_INSTALL,135,91,16,11,16835,9063,1993.86,11056.86,5778.14,34.32,121.5,0
2025,1,January,Q1,NE,North East,REMOVAL,24,14,6,2,1260,748,164.56,912.56,347.44,27.57,65.18,0
2025,1,January,Q1,NE,North East,REPAIR,73,50,17,5,6000,3440,756.8,4196.8,1803.2,30.05,83.94,0
2025,1,January,Q1,NW,North West,EXCHANGE,206,140,38,14,23100,12012,2642.64,14654.64,8445.36,36.56,104.68,0
2025,1,January,Q1,NW,North West,NEW_INSTALL,169,117,27,11,21645,11533,2537.26,14070.26,7574.74,35,120.26,0
2025,1,January,Q1,NW,North West,REMOVAL,30,17,5,5,1530,1006,221.32,1227.32,302.68,19.78,72.2,0
2025,1,January,Q1,NW,North West,REPAIR,86,65,8,7,7800,4491,988.02,5479.02,2320.98,29.76,84.29,0
2025,1,January,Q1,SCO,Scotland,EXCHANGE,133,94,19,8,15510,8012,1762.64,9774.64,5735.36,36.98,103.99,0
2025,1,January,Q1,SCO,Scotland,NEW_INSTALL,103,72,12,9,13320,7182,1580.04,8762.04,4557.96,34.22,121.7,0
2025,1,January,Q1,SCO,Scotland,REMOVAL,20,17,2,0,1530,816,179.52,995.52,534.48,34.93,58.56,0
