job_ref,region_code,region_name,patch_code,primary_channel,meter_type,job_type,status,requested_date,contact_date,booked_date,completed_date,engineer_id,contacts_count,abandoned_contacts,avg_handle_mins,cancellation_reason,abort_reason,revenue_gbp,cost_gbp,is_forecast
IMSERV-2024-0000001,NW,North West,NW-P3,Phone,SMETS2_GAS,EXCHANGE,Aborted,2024-01-01,2024-01-01,2023-12-19,,ENG-NW-003,3,1,7.12,,Customer unavailable,0.0,38.0,0
IMSERV-2024-0000002,NW,North West,NW-P2,SMS,SMETS2_GAS,REPAIR,Booked,2024-01-01,2024-01-01,2023-12-21,,ENG-NW-002,3,1,5.09,,,0.0,0.0,0
IMSERV-2024-0000003,NW,North West,NW-P2,Web,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-15,2024-01-01,ENG-NW-008,4,0,7.34,,,165.0,82.0,0
IMSERV-2024-0000004,NW,North West,NW-P1,Web,SMETS2_GAS,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-21,2024-01-01,ENG-NW-001,5,0,5.74,,,120.0,65.0,0
IMSERV-2024-0000005,NW,North West,NW-P6,Phone,SMETS2_GAS,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-29,2024-01-01,ENG-NW-006,4,0,5.01,,,120.0,65.0,0
IMSERV-2024-0000006,NW,North West,NW-P6,SMS,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-18,2024-01-01,ENG-NW-012,5,0,12.3,,,185.0,95.0,0
IMSERV-2024-0000007,NW,North West,NW-P3,Phone,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-11,2024-01-01,ENG-NW-009,5,0,5.5,,,185.0,95.0,0
IMSERV-2024-0000008,NW,North West,NW-P1,Web,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-17,2024-01-01,ENG-NW-007,3,0,4.55,,,165.0,82.0,0
IMSERV-2024-0000009,NW,North West,NW-P5,Phone,SMETS2_GAS,EXCHANGE,Cancelled,2024-01-01,2024-01-01,2023-12-26,,,5,0,7.43,Customer not home,,0.0,0.0,0
IMSERV-2024-0000010,NW,North West,NW-P3,App,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-20,2024-01-01,ENG-NW-015,5,0,7.68,,,165.0,82.0,0
IMSERV-2024-0000011,NW,North West,NW-P4,IVR,SMETS1,REPAIR,Booked,2024-01-01,2024-01-01,2023-12-23,,ENG-NW-004,3,0,8.97,,,0.0,0.0,0
IMSERV-2024-0000012,NW,North West,NW-P4,SMS,SMETS2,EXCHANGE,Aborted,2024-01-01,2024-01-01,2023-12-14,,ENG-NW-010,5,0,9.72,,Safety hazard,0.0,38.0,0
IMSERV-2024-0000013,NW,North West,NW-P5,App,SMETS1,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-14,2024-01-01,ENG-NW-005,4,0,7.51,,,185.0,95.0,0
IMSERV-2024-0000014,NW,North West,NW-P4,SMS,SMETS2,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-20,2024-01-01,ENG-NW-016,1,0,4.66,,,120.0,65.0,0
IMSERV-2024-0000015,NW,North West,NW-P3,Phone,SMETS2,REPAIR,Booked,2024-01-01,2024-01-01,2023-12-12,,ENG-NW-021,1,0,6.91,,,0.0,0.0,0
IMSERV-2024-0000016,NW,North West,NW-P2,Phone,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-25,2024-01-01,ENG-NW-014,5,0,6.68,,,185.0,95.0,0
IMSERV-2024-0000017,NW,North West,NW-P3,Web,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-20,2024-01-01,ENG-NW-027,1,0,12.42,,,185.0,95.0,0
IMSERV-2024-0000018,NW,North West,NW-P5,IVR,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-19,2024-01-01,ENG-NW-011,4,0,6.82,,,165.0,82.0,0
IMSERV-2024-0000019,NW,North West,NW-P2,App,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-12,2024-01-01,ENG-NW-026,4,0,8.57,,,165.0,82.0,0
IMSERV-2024-0000020,NW,North West,NW-P2,App,SMETS1,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-17,2024-01-01,ENG-NW-032,3,0,6.31,,,165.0,82.0,0
IMSERV-2024-0000021,NW,North West,NW-P3,Phone,SMETS2_GAS,EXCHANGE,Booked,2024-01-01,2024-01-01,2023-12-16,,ENG-NW-033,1,0,5.0,,,0.0,0.0,0
IMSERV-2024-0000022,NW,North West,NW-P6,Phone,SMETS2,EXCHANGE,Aborted,2024-01-01,2024-01-01,2023-12-14,,ENG-NW-018,2,0,7.82,,Parts not available,0.0,38.0,0
IMSERV-2024-0000023,NW,North West,NW-P1,Phone,SMETS1,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-18,2024-01-01,ENG-NW-013,5,0,6.26,,,185.0,95.0,0
IMSERV-2024-0000024,NE,North East,NE-P5,App,SMETS1,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-18,2024-01-01,ENG-NE-005,2,0,9.24,,,165.0,82.0,0
IMSERV-2024-0000025,NE,North East,NE-P1,Web,SMETS2,EXCHANGE,Cancelled,2024-01-01,2024-01-01,2023-12-11,,,1,0,5.76,Safety concern,,0.0,0.0,0
IMSERV-2024-0000026,NE,North East,NE-P4,SMS,SMETS2,EXCHANGE,Aborted,2024-01-01,2024-01-01,2023-12-15,,ENG-NE-004,3,0,11.59,,Health & safety concern,0.0,38.0,0
IMSERV-2024-0000027,NE,North East,NE-P5,Agent Callback,SMETS1,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-28,2024-01-01,ENG-NE-010,1,0,8.4,,,185.0,95.0,0
IMSERV-2024-0000028,NE,North East,NE-P4,App,SMETS2,NEW_INSTALL,Booked,2024-01-01,2024-01-01,2023-12-17,,ENG-NE-009,3,1,11.52,,,0.0,0.0,0
IMSERV-2024-0000029,NE,North East,NE-P3,SMS,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-14,2024-01-01,ENG-NE-003,3,0,4.99,,,185.0,95.0,0
IMSERV-2024-0000030,NE,North East,NE-P2,Web,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-18,2024-01-01,ENG-NE-002,5,0,5.66,,,185.0,95.0,0
IMSERV-2024-0000031,NE,North East,NE-P1,Web,SMETS2_GAS,NEW_INSTALL,Booked,2024-01-01,2024-01-01,2023-12-19,,ENG-NE-001,1,0,5.5,,,0.0,0.0,0
IMSERV-2024-0000032,NE,North East,NE-P2,Agent Callback,SMETS2,EXCHANGE,Cancelled,2024-01-01,2024-01-01,2023-12-11,,,5,0,6.35,Customer not home,,0.0,0.0,0
IMSERV-2024-0000033,NE,North East,NE-P3,SMS,SMETS2,REMOVAL,Booked,2024-01-01,2024-01-01,2023-12-24,,ENG-NE-008,1,0,5.13,,,0.0,0.0,0
IMSERV-2024-0000034,NE,North East,NE-P4,Web,SMETS2_GAS,REPAIR,Cancelled,2024-01-01,2024-01-01,2023-12-26,,,3,0,8.8,No access to meter,,0.0,0.0,0
IMSERV-2024-0000035,NE,North East,NE-P4,Web,SMETS2,NEW_INSTALL,Aborted,2024-01-01,2024-01-01,2023-12-15,,ENG-NE-014,5,0,9.37,,Safety hazard,0.0,38.0,0
IMSERV-2024-0000036,NE,North East,NE-P1,Phone,SMETS1,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-17,2024-01-01,ENG-NE-006,3,0,4.84,,,165.0,82.0,0
IMSERV-2024-0000037,NE,North East,NE-P1,IVR,SMETS1,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-17,2024-01-01,ENG-NE-011,3,0,6.51,,,165.0,82.0,0
IMSERV-2024-0000038,MID,Midlands,MID-P5,Web,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-11,2024-01-01,ENG-MID-012,2,0,10.82,,,165.0,82.0,0
IMSERV-2024-0000039,MID,Midlands,MID-P2,Phone,SMETS2,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-16,2024-01-01,ENG-MID-002,4,0,8.79,,,120.0,65.0,0
IMSERV-2024-0000040,MID,Midlands,MID-P6,Phone,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-11,2024-01-01,ENG-MID-006,4,0,9.13,,,165.0,82.0,0
IMSERV-2024-0000041,MID,Midlands,MID-P5,IVR,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-23,2024-01-01,ENG-MID-019,3,0,8.34,,,165.0,82.0,0
IMSERV-2024-0000042,MID,Midlands,MID-P2,Agent Callback,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-23,2024-01-01,ENG-MID-009,2,1,10.38,,,165.0,82.0,0
IMSERV-2024-0000043,MID,Midlands,MID-P6,Phone,SMETS2,REMOVAL,Completed,2024-01-01,2024-01-01,2023-12-24,2024-01-01,ENG-MID-013,1,0,9.93,,,90.0,48.0,0
IMSERV-2024-0000044,MID,Midlands,MID-P4,Web,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-22,2024-01-01,ENG-MID-004,4,0,7.04,,,165.0,82.0,0
IMSERV-2024-0000045,MID,Midlands,MID-P7,SMS,SMETS2_GAS,NEW_INSTALL,Booked,2024-01-01,2024-01-01,2023-12-18,,ENG-MID-007,2,0,6.39,,,0.0,0.0,0
IMSERV-2024-0000046,MID,Midlands,MID-P6,SMS,SMETS2,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-19,2024-01-01,ENG-MID-027,5,0,5.49,,,120.0,65.0,0
IMSERV-2024-0000047,MID,Midlands,MID-P7,App,SMETS2,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-16,2024-01-01,ENG-MID-014,4,0,8.27,,,120.0,65.0,0
IMSERV-2024-0000048,MID,Midlands,MID-P3,Web,SMETS2,NEW_INSTALL,Cancelled,2024-01-01,2024-01-01,2023-12-23,,,1,0,5.01,Customer refused,,0.0,0.0,0
IMSERV-2024-0000049,MID,Midlands,MID-P1,Phone,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-18,2024-01-01,ENG-MID-001,2,0,11.98,,,185.0,95.0,0
IMSERV-2024-0000050,MID,Midlands,MID-P6,Web,SMETS2_GAS,NEW_INSTALL,Cancelled,2024-01-01,2024-01-01,2023-12-29,,,3,0,6.67,Work order error,,0.0,0.0,0
IMSERV-2024-0000051,MID,Midlands,MID-P5,Phone,SMETS2,NEW_INSTALL,Cancelled,2024-01-01,2024-01-01,2023-12-19,,,5,0,6.07,Safety concern,,0.0,0.0,0
IMSERV-2024-0000052,MID,Midlands,MID-P2,Web,SMETS1,NEW_INSTALL,Cancelled,2024-01-01,2024-01-01,2023-12-20,,,5,0,7.1,Customer not home,,0.0,0.0,0
IMSERV-2024-0000053,MID,Midlands,MID-P4,App,SMETS1,REPAIR,Aborted,2024-01-01,2024-01-01,2023-12-14,,ENG-MID-011,2,0,7.16,,Parts not available,0.0,38.0,0
IMSERV-2024-0000054,MID,Midlands,MID-P2,App,IHD,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-21,2024-01-01,ENG-MID-016,3,0,11.7,,,120.0,65.0,0
IMSERV-2024-0000055,MID,Midlands,MID-P6,Phone,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-24,2024-01-01,ENG-MID-034,2,0,12.46,,,165.0,82.0,0
IMSERV-2024-0000056,MID,Midlands,MID-P1,Phone,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-27,2024-01-01,ENG-MID-008,3,0,4.66,,,185.0,95.0,0
IMSERV-2024-0000057,MID,Midlands,MID-P4,Phone,SMETS2,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-22,2024-01-01,ENG-MID-018,1,0,10.25,,,165.0,82.0,0
IMSERV-2024-0000058,MID,Midlands,MID-P3,SMS,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-24,2024-01-01,ENG-MID-003,5,0,11.96,,,185.0,95.0,0
IMSERV-2024-0000059,MID,Midlands,MID-P5,Web,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-14,2024-01-01,ENG-MID-026,4,0,7.69,,,185.0,95.0,0
IMSERV-2024-0000060,MID,Midlands,MID-P1,Phone,SMETS2,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-20,2024-01-01,ENG-MID-015,4,0,5.91,,,120.0,65.0,0
IMSERV-2024-0000061,MID,Midlands,MID-P1,App,SMETS2_GAS,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-29,2024-01-01,ENG-MID-022,1,0,11.87,,,120.0,65.0,0
IMSERV-2024-0000062,SE,South East,SE-P4,App,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-22,2024-01-01,ENG-SE-004,1,0,5.36,,,185.0,95.0,0
IMSERV-2024-0000063,SE,South East,SE-P8,Phone,SMETS2,REPAIR,Booked,2024-01-01,2024-01-01,2023-12-22,,ENG-SE-008,3,0,4.61,,,0.0,0.0,0
IMSERV-2024-0000064,SE,South East,SE-P6,Phone,SMETS1,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-26,2024-01-01,ENG-SE-022,4,1,11.15,,,165.0,82.0,0
IMSERV-2024-0000065,SE,South East,SE-P6,Phone,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-19,2024-01-01,ENG-SE-030,3,1,8.13,,,165.0,82.0,0
IMSERV-2024-0000066,SE,South East,SE-P5,Phone,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2024-01-01,2023-12-24,2024-01-01,ENG-SE-005,3,0,7.32,,,165.0,82.0,0
IMSERV-2024-0000067,SE,South East,SE-P3,Phone,SMETS2,NEW_INSTALL,Completed,2024-01-01,2024-01-01,2023-12-25,2024-01-01,ENG-SE-003,3,0,7.81,,,185.0,95.0,0
IMSERV-2024-0000068,SE,South East,SE-P2,Phone,SMETS2,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-15,2024-01-01,ENG-SE-010,4,1,8.69,,,120.0,65.0,0
IMSERV-2024-0000069,SE,South East,SE-P3,Web,SMETS2_GAS,REPAIR,Completed,2024-01-01,2024-01-01,2023-12-25,2024-01-01,ENG-SE-011,3,1,10.38,,,120.0,65.0,0
IMSERV-2024-0000070,SE,South East,SE-P4,SMS,SMETS2_GAS,NEW_INSTALL,Aborted,2024-01-01,2024-01-01,2023-12-23,,ENG-SE-012,1,0,8.32,,No access,0.0,38.0,0
