job_ref,region_code,region_name,patch_code,meter_type,job_type,status,requested_date,booked_date,completed_date,engineer_id,contacts_count,cancellation_reason,abort_reason,revenue_gbp,cost_gbp,is_forecast
IMSERV-2024-0000001,NW,North West,NW-P5,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-16,2024-01-01,ENG-NW-011,4,,,165.0,82.0,0
IMSERV-2024-0000002,NW,North West,NW-P4,SMETS2,NEW_INSTALL,Aborted,2024-01-01,2023-12-23,,ENG-NW-008,5,,Safety hazard,0,95.0,0
IMSERV-2024-0000003,NW,North West,NW-P3,SMETS2,REPAIR,Completed,2024-01-01,2023-12-11,2024-01-01,ENG-NW-007,1,,,120.0,65.0,0
IMSERV-2024-0000004,NW,North West,NW-P4,SMETS1,NEW_INSTALL,Aborted,2024-01-01,2023-12-15,,ENG-NW-024,4,,Customer unavailable,0,95.0,0
IMSERV-2024-0000005,NW,North West,NW-P4,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-13,2024-01-01,ENG-NW-034,1,,,165.0,82.0,0
IMSERV-2024-0000006,NW,North West,NW-P2,SMETS1,REPAIR,Completed,2024-01-01,2023-12-20,2024-01-01,ENG-NW-010,5,,,120.0,65.0,0
IMSERV-2024-0000007,NW,North West,NW-P1,SMETS2,EXCHANGE,Booked,2024-01-01,2023-12-28,,ENG-NW-031,4,,,0,0,0
IMSERV-2024-0000008,NW,North West,NW-P4,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-20,2024-01-01,ENG-NW-038,1,,,185.0,95.0,0
IMSERV-2024-0000009,NW,North West,NW-P5,SMETS1,NEW_INSTALL,Cancelled,2024-01-01,2023-12-19,,,1,Safety concern,,0,0,0
IMSERV-2024-0000010,NW,North West,NW-P1,SMETS1,REPAIR,Completed,2024-01-01,2023-12-28,2024-01-01,ENG-NW-007,2,,,120.0,65.0,0
IMSERV-2024-0000011,NW,North West,NW-P3,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-12,2024-01-01,ENG-NW-031,2,,,165.0,82.0,0
IMSERV-2024-0000012,NW,North West,NW-P4,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2023-12-28,2024-01-01,ENG-NW-014,1,,,185.0,95.0,0
IMSERV-2024-0000013,NW,North West,NW-P6,SMETS2_GAS,EXCHANGE,Completed,2024-01-01,2023-12-22,2024-01-01,ENG-NW-020,5,,,165.0,82.0,0
IMSERV-2024-0000014,NW,North West,NW-P6,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-NW-003,5,,,165.0,82.0,0
IMSERV-2024-0000015,NW,North West,NW-P3,SMETS2,EXCHANGE,Booked,2024-01-01,2023-12-17,,ENG-NW-016,4,,,0,0,0
IMSERV-2024-0000016,NW,North West,NW-P4,SMETS1,EXCHANGE,Aborted,2024-01-01,2023-12-15,,ENG-NW-003,5,,Health & safety concern,0,82.0,0
IMSERV-2024-0000017,NW,North West,NW-P2,SMETS2,NEW_INSTALL,Cancelled,2024-01-01,2023-12-15,,,5,Customer not home,,0,0,0
IMSERV-2024-0000018,NW,North West,NW-P1,SMETS1,REMOVAL,Completed,2024-01-01,2023-12-28,2024-01-01,ENG-NW-033,4,,,90.0,48.0,0
IMSERV-2024-0000019,NW,North West,NW-P2,SMETS2,REMOVAL,Completed,2024-01-01,2023-12-27,2024-01-01,ENG-NW-009,1,,,90.0,48.0,0
IMSERV-2024-0000020,NW,North West,NW-P2,SMETS2,REPAIR,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-NW-019,1,,,120.0,65.0,0
IMSERV-2024-0000021,NE,North East,NE-P1,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2023-12-13,2024-01-01,ENG-NE-014,4,,,185.0,95.0,0
IMSERV-2024-0000022,NE,North East,NE-P1,SMETS2_GAS,REPAIR,Completed,2024-01-01,2023-12-28,2024-01-01,ENG-NE-015,1,,,120.0,65.0,0
IMSERV-2024-0000023,NE,North East,NE-P4,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2023-12-11,2024-01-01,ENG-NE-019,5,,,185.0,95.0,0
IMSERV-2024-0000024,NE,North East,NE-P3,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-14,2024-01-01,ENG-NE-018,4,,,185.0,95.0,0
IMSERV-2024-0000025,NE,North East,NE-P1,SMETS2_GAS,REPAIR,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-NE-021,1,,,120.0,65.0,0
IMSERV-2024-0000026,NE,North East,NE-P4,SMETS1,REPAIR,Booked,2024-01-01,2023-12-19,,ENG-NE-005,2,,,0,0,0
IMSERV-2024-0000027,NE,North East,NE-P5,SMETS2,REPAIR,Aborted,2024-01-01,2023-12-24,,ENG-NE-017,1,,Safety hazard,0,65.0,0
IMSERV-2024-0000028,NE,North East,NE-P4,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-21,2024-01-01,ENG-NE-011,1,,,185.0,95.0,0
IMSERV-2024-0000029,NE,North East,NE-P5,SMETS1,EXCHANGE,Completed,2024-01-01,2023-12-22,2024-01-01,ENG-NE-007,1,,,165.0,82.0,0
IMSERV-2024-0000030,NE,North East,NE-P2,SMETS1,REPAIR,Completed,2024-01-01,2023-12-18,2024-01-01,ENG-NE-024,5,,,120.0,65.0,0
IMSERV-2024-0000031,NE,North East,NE-P5,SMETS1,NEW_INSTALL,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-NE-028,3,,,185.0,95.0,0
IMSERV-2024-0000032,NE,North East,NE-P4,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-15,2024-01-01,ENG-NE-004,2,,,185.0,95.0,0
IMSERV-2024-0000033,NE,North East,NE-P3,SMETS2_GAS,NEW_INSTALL,Completed,2024-01-01,2023-12-18,2024-01-01,ENG-NE-021,5,,,185.0,95.0,0
IMSERV-2024-0000034,MID,Midlands,MID-P2,IHD,NEW_INSTALL,Completed,2024-01-01,2023-12-12,2024-01-01,ENG-MID-036,3,,,185.0,95.0,0
IMSERV-2024-0000035,MID,Midlands,MID-P7,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-27,2024-01-01,ENG-MID-032,1,,,185.0,95.0,0
IMSERV-2024-0000036,MID,Midlands,MID-P1,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-27,2024-01-01,ENG-MID-006,3,,,185.0,95.0,0
IMSERV-2024-0000037,MID,Midlands,MID-P2,SMETS1,REPAIR,Completed,2024-01-01,2023-12-11,2024-01-01,ENG-MID-019,1,,,120.0,65.0,0
IMSERV-2024-0000038,MID,Midlands,MID-P2,SMETS1,REPAIR,Booked,2024-01-01,2023-12-12,,ENG-MID-003,1,,,0,0,0
IMSERV-2024-0000039,MID,Midlands,MID-P2,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-17,2024-01-01,ENG-MID-024,2,,,165.0,82.0,0
IMSERV-2024-0000040,MID,Midlands,MID-P6,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-20,2024-01-01,ENG-MID-012,3,,,185.0,95.0,0
IMSERV-2024-0000041,MID,Midlands,MID-P5,SMETS2,NEW_INSTALL,Completed,2024-01-01,2023-12-11,2024-01-01,ENG-MID-030,3,,,185.0,95.0,0
IMSERV-2024-0000042,MID,Midlands,MID-P6,SMETS2,EXCHANGE,Completed,2024-01-01,2023-12-29,2024-01-01,ENG-MID-015,3,,,165.0,82.0,0
IMSERV-2024-0000043,MID,Midlands,MID-P3,SMETS1,EXCHANGE,Completed,2024-01-01,2023-12-22,2024-01-01,ENG-MID-032,4,,,165.0,82.0,0
